# m1_extract v1 — DERIVED DATA (a Modified Version), not an original work.
# Source:  Cremona ecdata, https://github.com/JohnCremona/ecdata
#          release tag 2026-04-22, commit 25cec5ecfec8b9f016eb1631ac633194c2bed39f
# License: Artistic License 2.0 (ecdata's LICENSE) — redistribution of Modified
#          Versions is permitted with this notice retained. (c) J. Cremona and
#          contributors. Raw-slice sha256s pinned in data/cremona/MANIFEST.json.
# Derived by: `at ecdata-extract --lo 2500 --hi 10000` (this repo).
# Contents: one primitive-isogeny-class representative per line — the rows Stage
#          M1 consumes; good-prime a_p is COMPUTED from the model, not stored.
# range 2500 10000
# LABEL N a1 a2 a3 a4 a6 RANK BAD(p:w,...|-)
7148a 7148 0 -1 0 -148 744 1 2:-1,1787:-1
7150a 7150 1 -1 0 -1438667 669948741 1 2:1,5:1,11:1,13:1
7150b 7150 1 0 1 -23401 1375948 1 2:1,5:1,11:1,13:1
7150c 7150 1 0 1 324 21498 1 2:1,5:1,11:1,13:1
7150d 7150 1 0 1 499 -3852 1 2:1,5:1,11:1,13:1
7150e 7150 1 0 1 -1651 -35802 0 2:1,5:1,11:1,13:-1
7150f 7150 1 0 1 6999 35148 0 2:1,5:1,11:-1,13:1
7150g 7150 1 1 0 2600 0 0 2:1,5:1,11:-1,13:1
7150h 7150 1 0 1 -1 -102 0 2:1,5:1,11:-1,13:1
7150i 7150 1 0 1 225724 142597698 0 2:1,5:1,11:-1,13:1
7150j 7150 1 -1 0 -76417 16583741 0 2:1,5:1,11:-1,13:1
7150k 7150 1 -1 0 -1417 23491 1 2:1,5:1,11:-1,13:-1
7150l 7150 1 0 1 -161 768 1 2:1,5:-1,11:1,13:-1
7150m 7150 1 1 0 12270 -253900 1 2:1,5:-1,11:-1,13:1
7150n 7150 1 0 1 -686951 -219159702 0 2:1,5:-1,11:-1,13:-1
7150o 7150 1 1 1 -12188 723531 0 2:-1,5:1,11:1,13:1
7150p 7150 1 1 1 -163 5281 0 2:-1,5:1,11:1,13:1
7150q 7150 1 0 0 -26745563 -126997214383 1 2:-1,5:1,11:1,13:-1
7150r 7150 1 0 0 -838 9292 1 2:-1,5:1,11:1,13:-1
7150s 7150 1 0 0 -3438 79492 1 2:-1,5:1,11:1,13:-1
7150t 7150 1 0 0 662 292 1 2:-1,5:1,11:-1,13:1
7150u 7150 1 1 1 -4013 96031 1 2:-1,5:-1,11:1,13:1
7150v 7150 1 1 1 -27478 -1764269 0 2:-1,5:-1,11:-1,13:1
7150w 7150 1 0 0 306737 -32350983 1 2:-1,5:-1,11:-1,13:-1
7152a 7152 0 -1 0 -48 288 2 2:1,3:1,149:-1
7152b 7152 0 1 0 -784 -8716 0 2:1,3:-1,149:1
7152c 7152 0 1 0 -24 -12 1 2:1,3:-1,149:-1
7152d 7152 0 -1 0 -6504 17136 0 2:-1,3:1,149:1
7152e 7152 0 -1 0 -3952 -51776 0 2:-1,3:1,149:1
7152f 7152 0 -1 0 -200 1008 1 2:-1,3:1,149:-1
7152g 7152 0 1 0 -298088 -62741964 1 2:-1,3:-1,149:1
7152h 7152 0 1 0 -952 10964 1 2:-1,3:-1,149:1
7152i 7152 0 1 0 -608 979572 0 2:-1,3:-1,149:-1
7152j 7152 0 1 0 -672 -6924 0 2:-1,3:-1,149:-1
7153a 7153 1 -1 0 -103 -384 0 23:1,311:-1
7154a 7154 1 0 1 -222 15824 1 2:1,7:1,73:1
7154b 7154 1 0 1 -124 -542 0 2:1,7:1,73:-1
7154c 7154 1 0 1 -734242 242101108 0 2:1,7:1,73:-1
7154d 7154 1 -1 0 236 -134 0 2:1,7:1,73:-1
7154e 7154 1 -1 0 -4174 99924 0 2:1,7:-1,73:1
7154f 7154 1 1 0 -6052 179768 0 2:1,7:-1,73:1
7154g 7154 1 1 0 -14984 -712256 0 2:1,7:-1,73:1
7154h 7154 1 -1 0 5 -1 0 2:1,7:-1,73:1
7154i 7154 1 1 0 -4 -48 1 2:1,7:-1,73:-1
7154j 7154 1 -1 1 -16204 -876977 1 2:-1,7:-1,73:1
7154k 7154 1 1 1 391 391 1 2:-1,7:-1,73:1
7155a 7155 0 0 1 -4968 137423 1 3:1,5:1,53:1
7155b 7155 1 -1 0 -15 116 1 3:1,5:1,53:1
7155c 7155 1 -1 1 -72443 -7487018 1 3:1,5:1,53:1
7155d 7155 0 0 1 -28593 -2531986 1 3:1,5:1,53:1
7155e 7155 0 0 1 -33 -76 0 3:1,5:1,53:-1
7155f 7155 0 0 1 -297 2045 0 3:1,5:-1,53:1
7155g 7155 0 0 1 -552 -5090 1 3:1,5:-1,53:-1
7155h 7155 1 -1 0 -8049 279980 1 3:1,5:-1,53:-1
7155i 7155 1 -1 1 -2 -4 1 3:1,5:-1,53:-1
7155j 7155 0 0 1 -3177 93777 1 3:1,5:-1,53:-1
7155k 7155 0 0 1 -18 -36 1 3:-1,5:1,53:-1
7155l 7155 0 0 1 -162 965 1 3:-1,5:-1,53:1
7158a 7158 1 1 1 -223 -1375 1 2:-1,3:1,1193:-1
7158b 7158 1 1 1 -134 -637 1 2:-1,3:1,1193:-1
7158c 7158 1 0 0 -477 3969 1 2:-1,3:-1,1193:1
7160a 7160 0 0 0 -982 -14319 0 2:1,5:-1,179:1
7160b 7160 0 0 0 -78227 9628046 0 2:1,5:-1,179:1
7160c 7160 0 0 0 -67 206 0 2:1,5:-1,179:1
7161a 7161 0 -1 1 6 38 1 3:1,7:1,11:1,31:1
7161b 7161 0 -1 1 -1772 32105 0 3:1,7:1,11:-1,31:1
7161c 7161 0 -1 1 -10990 -6420066 0 3:1,7:1,11:-1,31:1
7161d 7161 0 -1 1 -71 -1975 1 3:1,7:-1,11:1,31:-1
7161e 7161 0 -1 1 440 1119 1 3:1,7:-1,11:1,31:-1
7161f 7161 0 -1 1 -54 -163 0 3:1,7:-1,11:-1,31:-1
7161g 7161 1 0 1 -150 691 1 3:-1,7:1,11:1,31:-1
7161h 7161 0 1 1 -383740 -213019697 0 3:-1,7:-1,11:-1,31:1
7162a 7162 1 1 0 0 8 0 2:1,3581:-1
7162b 7162 1 0 0 -333 4753 0 2:-1,3581:1
7163a 7163 0 -1 1 -2408 48135 0 13:1,19:-1,29:1
7163b 7163 0 -1 1 -294 19723 0 13:1,19:-1,29:1
7163c 7163 1 -1 1 -2836 58830 1 13:-1,19:1,29:-1
7164a 7164 0 0 0 -21 -223 1 2:-1,3:-1,199:1
7164b 7164 0 0 0 33 -4570 1 2:-1,3:-1,199:1
7164c 7164 0 0 0 -93 2009 0 2:-1,3:-1,199:-1
7169a 7169 1 1 0 -16 -49 1 67:-1,107:-1
7170a 7170 1 1 0 -168 -1728 1 2:1,3:1,5:1,239:1
7170b 7170 1 1 0 242 -3788 1 2:1,3:1,5:1,239:1
7170c 7170 1 1 0 -1631842 -803048204 0 2:1,3:1,5:-1,239:1
7170d 7170 1 0 1 4096 -21598 1 2:1,3:-1,5:1,239:-1
7170e 7170 1 0 1 92 -94 0 2:1,3:-1,5:-1,239:-1
7170f 7170 1 1 1 -115 497 1 2:-1,3:1,5:-1,239:1
7170g 7170 1 1 1 270 2175 1 2:-1,3:1,5:-1,239:1
7170h 7170 1 1 1 -5 -25 0 2:-1,3:1,5:-1,239:-1
7170i 7170 1 0 0 -1586 -24444 0 2:-1,3:-1,5:1,239:-1
7170j 7170 1 0 0 210 3492 0 2:-1,3:-1,5:-1,239:1
7170k 7170 1 0 0 -6705 210765 0 2:-1,3:-1,5:-1,239:1
7170l 7170 1 0 0 -40959995 -100902708975 0 2:-1,3:-1,5:-1,239:1
7170m 7170 1 0 0 -145 -763 0 2:-1,3:-1,5:-1,239:1
7170n 7170 1 0 0 2140 -38400 0 2:-1,3:-1,5:-1,239:1
7172a 7172 0 1 0 -269 1615 2 2:-1,11:1,163:1
7172b 7172 0 0 0 -328 2324 0 2:-1,11:1,163:1
7172c 7172 0 0 0 -744712 263323252 0 2:-1,11:1,163:1
7172d 7172 0 0 0 -31 -74 0 2:-1,11:1,163:1
7173a 7173 1 -1 0 18 -27 1 3:-1,797:-1
7174a 7174 1 -1 0 -1409 -22083 0 2:1,17:1,211:-1
7174b 7174 1 -1 1 2 3 0 2:-1,17:1,211:1
7174c 7174 1 -1 1 -7642 -1576423 1 2:-1,17:1,211:-1
7175a 7175 1 0 0 17 -8 1 5:1,7:1,41:1
7175b 7175 0 1 1 -4508 -1283231 1 5:1,7:1,41:1
7175c 7175 0 0 1 -44425 -5025594 0 5:1,7:1,41:-1
7175d 7175 0 0 1 2200 -3469 1 5:1,7:-1,41:-1
7175e 7175 0 1 1 -8 -231 1 5:1,7:-1,41:-1
7175f 7175 1 1 0 425 -1000 1 5:-1,7:-1,41:1
7176a 7176 0 -1 0 -939 3744 1 2:1,3:1,13:1,23:1
7176b 7176 0 -1 0 -663 -6084 1 2:1,3:1,13:-1,23:-1
7176c 7176 0 -1 0 -152599 3260020 1 2:1,3:1,13:-1,23:-1
7176d 7176 0 1 0 -27 18 1 2:1,3:-1,13:1,23:-1
7176e 7176 0 1 0 52 0 1 2:1,3:-1,13:-1,23:1
7176f 7176 0 1 0 73 150 1 2:1,3:-1,13:-1,23:1
7176g 7176 0 1 0 -304 -2320 0 2:1,3:-1,13:-1,23:-1
7176h 7176 0 1 0 -96 432 0 2:1,3:-1,13:-1,23:-1
7176i 7176 0 1 0 -31 -58 0 2:1,3:-1,13:-1,23:-1
7176j 7176 0 -1 0 -27 60 1 2:-1,3:1,13:1,23:-1
7176k 7176 0 -1 0 -148 868 1 2:-1,3:1,13:-1,23:1
7176l 7176 0 -1 0 396 -4860 1 2:-1,3:1,13:-1,23:1
7176m 7176 0 1 0 972 0 1 2:-1,3:-1,13:1,23:1
7176n 7176 0 1 0 -17499 -772650 1 2:-1,3:-1,13:1,23:1
7176o 7176 0 1 0 -3080532 2089294272 0 2:-1,3:-1,13:-1,23:1
7176p 7176 0 1 0 -343 2330 1 2:-1,3:-1,13:-1,23:-1
7178a 7178 1 -1 0 -2761 -55155 0 2:1,37:1,97:-1
7178b 7178 1 0 0 -3 65 1 2:-1,37:-1,97:1
7179a 7179 0 1 1 -12 -25 0 3:-1,2393:1
7180a 7180 0 1 0 -608081 -179392400 1 2:-1,5:1,359:-1
7180b 7180 0 -1 0 -45 137 1 2:-1,5:-1,359:1
7182a 7182 1 -1 0 27 -99 1 2:1,3:1,7:1,19:1
7182b 7182 1 -1 0 439383 221129549 0 2:1,3:1,7:1,19:-1
7182c 7182 1 -1 0 -61668 85828176 0 2:1,3:1,7:1,19:-1
7182d 7182 1 -1 0 -57 -1083 1 2:1,3:1,7:-1,19:-1
7182e 7182 1 -1 0 -357 2793 1 2:1,3:1,7:-1,19:-1
7182f 7182 1 -1 0 -756 -14896 1 2:1,3:1,7:-1,19:-1
7182g 7182 1 -1 0 -1419 -34363 1 2:1,3:-1,7:1,19:-1
7182h 7182 1 -1 0 282 1844 1 2:1,3:-1,7:-1,19:1
7182i 7182 1 -1 0 -180 -886 0 2:1,3:-1,7:-1,19:-1
7182j 7182 1 -1 0 -1558488 749254368 0 2:1,3:-1,7:-1,19:-1
7182k 7182 1 -1 1 48820 -8206257 1 2:-1,3:1,7:1,19:-1
7182l 7182 1 -1 1 -158 1325 1 2:-1,3:1,7:1,19:-1
7182m 7182 1 -1 1 31 -79 1 2:-1,3:1,7:-1,19:1
7182n 7182 1 -1 1 205 -301 0 2:-1,3:1,7:-1,19:-1
7182o 7182 1 -1 1 -1622 25543 0 2:-1,3:1,7:-1,19:-1
7182p 7182 1 -1 1 -173114 -27709831 0 2:-1,3:1,7:-1,19:-1
7182q 7182 1 -1 1 241 2431 1 2:-1,3:-1,7:1,19:1
7182r 7182 1 -1 1 -555014 -2316805739 0 2:-1,3:-1,7:1,19:-1
7182s 7182 1 -1 1 -1115 14603 1 2:-1,3:-1,7:-1,19:-1
7182t 7182 1 -1 1 -6806 408997 1 2:-1,3:-1,7:-1,19:-1
7184a 7184 0 -1 0 8 -48 0 2:1,449:-1
7184b 7184 0 -1 0 -3224 -69392 0 2:-1,449:1
7184c 7184 0 1 0 -192 820 0 2:-1,449:1
7184d 7184 0 1 0 -64 52 1 2:-1,449:-1
7184e 7184 0 1 0 -7224 -256940 1 2:-1,449:-1
7185a 7185 1 1 1 -5615 160580 1 3:1,5:-1,479:-1
7185b 7185 1 0 0 -5 -48 1 3:-1,5:-1,479:1
7185c 7185 0 1 1 -20 29 0 3:-1,5:-1,479:-1
7186a 7186 1 0 1 -76 246 1 2:1,3593:1
7187a 7187 0 1 1 -192 -1091 1 7187:1
7188a 7188 0 1 0 -28 -76 1 2:-1,3:-1,599:1
7190a 7190 1 1 0 -213 -1307 1 2:1,5:1,719:1
7190b 7190 1 0 0 -5 65 1 2:-1,5:-1,719:1
7191a 7191 0 0 1 -63 190 2 3:1,17:1,47:-1
7191b 7191 0 0 1 -567 -5137 0 3:1,17:-1,47:1
7191c 7191 1 -1 0 -1062 -12353 0 3:-1,17:1,47:1
7191d 7191 1 -1 1 -8150 284924 0 3:-1,17:1,47:1
7191e 7191 0 0 1 -15762 -758997 1 3:-1,17:1,47:-1
7191f 7191 1 -1 0 -144 -581 1 3:-1,17:1,47:-1
7191g 7191 0 0 1 -2136 -8757 1 3:-1,17:-1,47:1
7191h 7191 0 0 1 -32871 -2371136 1 3:-1,17:-1,47:1
7191i 7191 0 0 1 -110573994 410342523660 0 3:-1,17:-1,47:-1
7192a 7192 0 0 0 -251 742 1 2:-1,29:1,31:-1
7192b 7192 0 -1 0 0 -31 1 2:-1,29:-1,31:1
7194a 7194 1 1 0 -110 -588 0 2:1,3:1,11:1,109:-1
7194b 7194 1 1 0 391 2517 0 2:1,3:1,11:1,109:-1
7194c 7194 1 0 1 1998 44740 1 2:1,3:-1,11:-1,109:1
7194d 7194 1 1 1 -2543 -532555 0 2:-1,3:1,11:1,109:1
7194e 7194 1 1 1 -299 2441 0 2:-1,3:1,11:1,109:1
7195a 7195 1 -1 1 -12 -226 0 5:-1,1439:1
7196a 7196 0 -1 0 -22 -27 0 2:-1,7:-1,257:-1
7198a 7198 1 -1 0 -113 509 1 2:1,59:1,61:1
7198b 7198 1 0 1 -1584 -65026 1 2:1,59:1,61:1
7198c 7198 1 0 1 -1820 29722 2 2:1,59:-1,61:1
7198d 7198 1 -1 0 -586 -42764 1 2:1,59:-1,61:-1
7200a 7200 0 0 0 675 0 1 2:1,3:1,5:1
7200b 7200 0 0 0 75 500 1 2:1,3:1,5:1
7200ba 7200 0 0 0 75 0 0 2:-1,3:1,5:1
7200bb 7200 0 0 0 675 -13500 0 2:-1,3:1,5:1
7200bc 7200 0 0 0 75 -500 0 2:-1,3:1,5:1
7200bd 7200 0 0 0 15 0 1 2:-1,3:1,5:-1
7200be 7200 0 0 0 3375 0 1 2:-1,3:1,5:-1
7200bf 7200 0 0 0 -2325 -38500 1 2:-1,3:-1,5:1
7200bg 7200 0 0 0 -225 0 1 2:-1,3:-1,5:1
7200bh 7200 0 0 0 -120 880 1 2:-1,3:-1,5:1
7200bi 7200 0 0 0 15000 1150000 1 2:-1,3:-1,5:1
7200bj 7200 0 0 0 -120 -880 1 2:-1,3:-1,5:1
7200bk 7200 0 0 0 -1425 20500 1 2:-1,3:-1,5:1
7200bl 7200 0 0 0 -75 -290 1 2:-1,3:-1,5:1
7200bm 7200 0 0 0 -6600 206480 1 2:-1,3:-1,5:1
7200bn 7200 0 0 0 -6825 -209000 1 2:-1,3:-1,5:1
7200bo 7200 0 0 0 -50925 -4335500 1 2:-1,3:-1,5:1
7200bp 7200 0 0 0 -6825 209000 1 2:-1,3:-1,5:1
7200bq 7200 0 0 0 -525 2500 1 2:-1,3:-1,5:1
7200br 7200 0 0 0 -1125 0 0 2:-1,3:-1,5:-1
7200bs 7200 0 0 0 600 -9200 0 2:-1,3:-1,5:-1
7200bt 7200 0 0 0 375 25000 0 2:-1,3:-1,5:-1
7200bu 7200 0 0 0 -1875 36250 0 2:-1,3:-1,5:-1
7200bv 7200 0 0 0 375 -25000 0 2:-1,3:-1,5:-1
7200bw 7200 0 0 0 -165000 -25810000 0 2:-1,3:-1,5:-1
7200bx 7200 0 0 0 -39000 22070000 0 2:-1,3:-1,5:-1
7200by 7200 0 0 0 -39000 -22070000 0 2:-1,3:-1,5:-1
7200bz 7200 0 0 0 -4845 129800 0 2:-1,3:-1,5:-1
7200c 7200 0 0 0 675 13500 1 2:1,3:1,5:1
7200ca 7200 0 0 0 -4845 -129800 0 2:-1,3:-1,5:-1
7200d 7200 0 0 0 135 0 0 2:1,3:1,5:-1
7200e 7200 0 0 0 375 0 0 2:1,3:1,5:-1
7200f 7200 0 0 0 -2325 38500 0 2:1,3:-1,5:1
7200g 7200 0 0 0 -1425 7000 0 2:1,3:-1,5:1
7200h 7200 0 0 0 -1425 -7000 0 2:1,3:-1,5:1
7200i 7200 0 0 0 15000 -1150000 0 2:1,3:-1,5:1
7200j 7200 0 0 0 -1425 -20500 0 2:1,3:-1,5:1
7200k 7200 0 0 0 -75 290 0 2:1,3:-1,5:1
7200l 7200 0 0 0 -1560 -176560 0 2:1,3:-1,5:1
7200m 7200 0 0 0 -6600 -206480 0 2:1,3:-1,5:1
7200n 7200 0 0 0 -1560 176560 0 2:1,3:-1,5:1
7200o 7200 0 0 0 -525 -2500 0 2:1,3:-1,5:1
7200p 7200 0 0 0 -50925 4335500 0 2:1,3:-1,5:1
7200q 7200 0 0 0 -45 0 1 2:1,3:-1,5:-1
7200r 7200 0 0 0 -3000 -110000 1 2:1,3:-1,5:-1
7200s 7200 0 0 0 -3000 110000 1 2:1,3:-1,5:-1
7200t 7200 0 0 0 600 9200 1 2:1,3:-1,5:-1
7200u 7200 0 0 0 -1875 -36250 1 2:1,3:-1,5:-1
7200v 7200 0 0 0 15 -200 1 2:1,3:-1,5:-1
7200w 7200 0 0 0 15 200 1 2:1,3:-1,5:-1
7200x 7200 0 0 0 -165000 25810000 1 2:1,3:-1,5:-1
7200y 7200 0 0 0 -121125 -16225000 1 2:1,3:-1,5:-1
7200z 7200 0 0 0 -121125 16225000 1 2:1,3:-1,5:-1
7205a 7205 0 1 1 439 1945 0 5:1,11:1,131:-1
7205b 7205 0 -1 1 54 -24 2 5:1,11:1,131:-1
7205c 7205 0 -1 1 -96 426 2 5:1,11:1,131:-1
7205d 7205 0 1 1 -121 3660 0 5:1,11:-1,131:1
7205e 7205 0 1 1 1964 -21780 1 5:1,11:-1,131:-1
7205f 7205 0 1 1 10 31 1 5:-1,11:1,131:-1
7205g 7205 0 0 1 -10387 -407478 1 5:-1,11:1,131:-1
7205h 7205 0 1 1 -45 106 1 5:-1,11:-1,131:1
7205i 7205 1 1 1 10 10 1 5:-1,11:-1,131:1
7205j 7205 0 -1 1 -85940 9727881 1 5:-1,11:-1,131:1
7205k 7205 0 -1 1 -5 153 2 5:-1,11:-1,131:-1
7206a 7206 1 1 1 -19 -19 1 2:-1,3:1,1201:-1
7206b 7206 1 0 0 -164159 -25613991 0 2:-1,3:-1,1201:-1
7208a 7208 0 -1 0 -23 44 1 2:1,17:1,53:1
7208b 7208 0 -1 0 256 -13348 1 2:-1,17:1,53:-1
7210a 7210 1 0 1 -3745134 2792705696 1 2:1,5:1,7:1,103:1
7210b 7210 1 1 0 -317 3389 0 2:1,5:-1,7:-1,103:-1
7210c 7210 1 0 0 -21 -115 0 2:-1,5:1,7:1,103:1
7210d 7210 1 -1 1 -1803 -31589 0 2:-1,5:1,7:1,103:1
7210e 7210 1 -1 1 1977 -31169 0 2:-1,5:1,7:1,103:1
7210f 7210 1 1 1 -1026 12223 1 2:-1,5:1,7:-1,103:1
7210g 7210 1 0 0 -686 6860 0 2:-1,5:1,7:-1,103:-1
7210h 7210 1 -1 1 -12 11 1 2:-1,5:-1,7:1,103:1
7210i 7210 1 1 1 -25 -83 0 2:-1,5:-1,7:-1,103:1
7210j 7210 1 0 0 295 185 1 2:-1,5:-1,7:-1,103:-1
7210k 7210 1 1 1 -410640 119077405 1 2:-1,5:-1,7:-1,103:-1
7210l 7210 1 1 1 -95 645 1 2:-1,5:-1,7:-1,103:-1
7212a 7212 0 1 0 347 1031 0 2:-1,3:-1,601:-1
7213a 7213 0 -1 1 -117 528 1 7213:1
7214a 7214 1 0 0 -17 41 1 2:-1,3607:-1
7215a 7215 0 -1 1 -1 -9 1 3:1,5:1,13:1,37:1
7215b 7215 1 1 0 -98 327 1 3:1,5:1,13:1,37:1
7215c 7215 1 1 1 -1862805 -690949350 1 3:1,5:-1,13:1,37:-1
7215d 7215 1 1 1 -235 -1288 1 3:1,5:-1,13:1,37:-1
7215e 7215 1 1 1 -1020 10620 0 3:1,5:-1,13:-1,37:-1
7215f 7215 1 0 1 -7769 -84049 0 3:-1,5:1,13:1,37:1
7215g 7215 1 0 1 -924 10597 0 3:-1,5:1,13:1,37:1
7215h 7215 1 0 1 -136893 17859931 1 3:-1,5:-1,13:1,37:1
7215i 7215 1 0 1 -248 -1519 1 3:-1,5:-1,13:1,37:1
7215j 7215 1 0 0 -6290 191475 1 3:-1,5:-1,13:-1,37:-1
7216a 7216 0 0 0 -18412 961612 1 2:1,11:1,41:1
7216b 7216 0 0 0 -422 -3337 0 2:1,11:-1,41:1
7216c 7216 0 1 0 -16 36 2 2:1,11:-1,41:1
7216d 7216 0 0 0 -47 1982 1 2:1,11:-1,41:-1
7216e 7216 0 -1 0 3 44 0 2:-1,11:1,41:1
7216f 7216 0 -1 0 -5 8 1 2:-1,11:1,41:-1
7216g 7216 0 -1 0 43 -419 1 2:-1,11:-1,41:1
7216h 7216 0 -1 0 -38104 -4947984 1 2:-1,11:-1,41:1
7216i 7216 0 -1 0 -1024 -12288 1 2:-1,11:-1,41:1
7218a 7218 1 -1 0 72 256 2 2:1,3:-1,401:1
7218b 7218 1 -1 0 -207 -2835 1 2:1,3:-1,401:-1
7218c 7218 1 -1 0 -81 297 1 2:1,3:-1,401:-1
7218d 7218 1 -1 0 -24381 3252069 1 2:1,3:-1,401:-1
7218e 7218 1 -1 0 -6606 -205740 1 2:1,3:-1,401:-1
7218f 7218 1 -1 0 21 -1 1 2:1,3:-1,401:-1
7218g 7218 1 -1 1 -2111 -45849 1 2:-1,3:-1,401:1
7218h 7218 1 -1 1 -671 6851 0 2:-1,3:-1,401:-1
7218i 7218 1 -1 1 -293 -3031 0 2:-1,3:-1,401:-1
7219a 7219 1 -1 1 -1 4 1 7219:1
7220a 7220 0 -1 0 -36581 2695841 0 2:-1,5:1,19:1
7220b 7220 0 0 0 -2888 20577 1 2:-1,5:1,19:-1
7220c 7220 0 -1 0 -481 -2634 1 2:-1,5:1,19:-1
7220d 7220 0 1 0 -332601 -68967860 1 2:-1,5:1,19:-1
7220e 7220 0 1 0 -101 -425 1 2:-1,5:1,19:-1
7220f 7220 0 -1 0 -25 102 1 2:-1,5:-1,19:1
7220g 7220 0 1 0 -9145 -645000 1 2:-1,5:-1,19:1
7223a 7223 1 0 0 46 -37 1 31:1,233:1
7223b 7223 1 0 1 -48 -183 0 31:1,233:-1
7223c 7223 1 0 1 -466 -3905 1 31:-1,233:-1
7224a 7224 0 -1 0 -4907 -130680 0 2:1,3:1,7:-1,43:1
7224b 7224 0 1 0 -99 -414 0 2:1,3:-1,7:1,43:1
7224c 7224 0 1 0 -904 -4432 0 2:1,3:-1,7:1,43:1
7224d 7224 0 1 0 -225 1539 2 2:1,3:-1,7:1,43:1
7224e 7224 0 1 0 -280 1712 1 2:1,3:-1,7:1,43:-1
7224f 7224 0 1 0 -19 -910 1 2:1,3:-1,7:1,43:-1
7224g 7224 0 1 0 132 576 1 2:1,3:-1,7:-1,43:1
7224h 7224 0 -1 0 -127 -440 1 2:-1,3:1,7:-1,43:1
7224i 7224 0 1 0 -36 -288 0 2:-1,3:-1,7:1,43:-1
7225a 7225 0 1 1 -283 -1531 1 5:1,17:1
7225b 7225 1 -1 0 -4967 58816 1 5:1,17:1
7225c 7225 1 1 1 -873 10696 1 5:1,17:1
7225d 7225 1 1 1 62 156 1 5:1,17:1
7225e 7225 1 1 1 -61563 -5873344 1 5:1,17:1
7225f 7225 0 -1 1 -81883 -7029457 0 5:1,17:-1
7225g 7225 1 0 0 17912 641917 0 5:1,17:-1
7225h 7225 1 0 1 -21826 1380673 0 5:-1,17:1
7226a 7226 1 -1 0 -23 -37 0 2:1,3613:-1
7226b 7226 1 0 0 -134 586 0 2:-1,3613:1
7227a 7227 1 -1 1 -461 3916 1 3:1,11:1,73:1
7227b 7227 1 -1 0 -51 -128 0 3:1,11:-1,73:1
7227c 7227 1 -1 0 -1665 26568 0 3:-1,11:1,73:1
7227d 7227 0 0 1 -510123 140909197 0 3:-1,11:1,73:1
7227e 7227 1 -1 0 -1683 -26136 1 3:-1,11:1,73:-1
7227f 7227 0 0 1 -291 -6021 1 3:-1,11:-1,73:1
7227g 7227 0 0 1 -543 -8510 1 3:-1,11:-1,73:1
7227h 7227 0 0 1 -1370172 627466414 0 3:-1,11:-1,73:-1
7230a 7230 1 1 0 -3633 82773 1 2:1,3:1,5:1,241:1
7230b 7230 1 1 0 -5378 -149772 2 2:1,3:1,5:1,241:-1
7230c 7230 1 1 0 -48 108 2 2:1,3:1,5:1,241:-1
7230d 7230 1 1 0 -20557 1127389 1 2:1,3:1,5:-1,241:-1
7230e 7230 1 1 0 473 53941 1 2:1,3:1,5:-1,241:-1
7230f 7230 1 1 0 -76992 -8244756 1 2:1,3:1,5:-1,241:-1
7230g 7230 1 1 0 -117 -531 1 2:1,3:1,5:-1,241:-1
7230h 7230 1 0 1 -114 436 1 2:1,3:-1,5:1,241:-1
7230i 7230 1 0 1 -78259 -8432818 1 2:1,3:-1,5:1,241:-1
7230j 7230 1 0 1 -91573 -10020244 0 2:1,3:-1,5:-1,241:-1
7230k 7230 1 0 1 -638 2288 0 2:1,3:-1,5:-1,241:-1
7230l 7230 1 0 1 2 8 0 2:1,3:-1,5:-1,241:-1
7230m 7230 1 1 1 -2405 44075 1 2:-1,3:1,5:-1,241:1
7230n 7230 1 1 1 -45 -93 1 2:-1,3:1,5:-1,241:1
7230o 7230 1 1 1 -10 -745 0 2:-1,3:1,5:-1,241:-1
7230p 7230 1 1 1 -440 3305 0 2:-1,3:1,5:-1,241:-1
7230q 7230 1 1 1 -16875005 -26688734125 0 2:-1,3:1,5:-1,241:-1
7230r 7230 1 1 1 -1426425 -656319033 0 2:-1,3:1,5:-1,241:-1
7230s 7230 1 1 1 -125 497 0 2:-1,3:1,5:-1,241:-1
7230t 7230 1 0 0 -740 3792 1 2:-1,3:-1,5:-1,241:-1
7230u 7230 1 0 0 -33795 2383425 1 2:-1,3:-1,5:-1,241:-1
7230v 7230 1 0 0 -3330 72900 1 2:-1,3:-1,5:-1,241:-1
7232a 7232 0 0 0 -140 624 2 2:1,113:-1
7232b 7232 0 -1 0 -321 833 0 2:1,113:-1
7232c 7232 0 1 0 -129 -545 2 2:1,113:-1
7232d 7232 0 0 0 -140 -624 1 2:-1,113:-1
7232e 7232 0 -1 0 -153 -679 1 2:-1,113:-1
7232f 7232 0 -1 0 -129 545 1 2:-1,113:-1
7232g 7232 0 1 0 -153 679 1 2:-1,113:-1
7232h 7232 0 1 0 -321 -833 1 2:-1,113:-1
7233a 7233 1 1 1 -3 -6 2 3:1,2411:-1
7233b 7233 0 -1 1 6 -7 0 3:1,2411:-1
7233c 7233 0 1 1 -132 542 1 3:-1,2411:-1
7234a 7234 1 -1 0 -10 12 2 2:1,3617:-1
7234b 7234 1 -1 0 -7591 -798211 0 2:1,3617:-1
7234c 7234 1 1 1 -758 5107 0 2:-1,3617:1
7234d 7234 1 1 1 -14 15 1 2:-1,3617:-1
7235a 7235 1 -1 1 -13 -14 1 5:1,1447:1
